s,俳句,読み,季語候補,plutchik_main,nihon_main,nihon_sub,main_confidence,季節,ジャンル,出典,年,has_repetition
19794,葉うら～灯影とゞかぬ里神楽,はうらうら ほかげとどかぬ さとかぐら,里神楽（夜神楽）,悲しみ,幽玄,無常,0.75,冬,人事,寛政句帖,寛政６,TRUE
20760,朝な～焼大根哉冬ごもり,あさなあさな やきだいこかな ふゆごもり,冬籠り,喜び,素朴,静寂,0.75,冬,人事,寛政句帖,寛政６,TRUE
636,家飛～凧も三ツ四ツふたつ哉,いえとぶとぶ たこもみつよつ ふたつかな,凧,喜び,風雅,淡白,0.75,新年,人事,西国紀行,寛政7,TRUE
1630,朧～ふめば水也まよひ道,おぼろおぼろ ふめばみずなり まよいみち,朧,驚き,幽玄,静寂,0.72,春,天文,西国紀行,寛政7,TRUE
5068,梅がゝをはる～”尋ね入野哉,うめがかを はるばるたずね いりのかな,梅,期待,風雅,幽玄,0.75,春,植物,西国紀行,寛政7,TRUE
5554,桃柳庇～の花見かな,ももやなぎ ひさしひさしの はなみかな,花,喜び,風雅,淡白,0.75,春,植物,西国紀行,寛政7,TRUE
6413,桃ところ～”何思出て餅の音,ももところ どころなにおもいでて もちのおと,桃の花,期待,風雅,幽玄,0.65,春,植物,西国紀行,寛政7,TRUE
8087,つく～゛と鵜ににらま(る)ゝ鵜飼哉,つくづくと うににらまるる うかいかな,鵜飼,驚き,風雅,幽玄,0.75,夏,人事,西国紀行,寛政7,TRUE
12114,雲折～適に青葉見ゆ玉手山,くもおりおり たまにあおばみゆ たまてやま,青葉,喜び,風雅,幽玄,0.75,夏,植物,西国紀行,寛政7,TRUE
4890,なの花にだら～下りの日暮哉,なのはなに だらだらくだりの ひぐれかな,菜の花,喜び,風雅,静寂,0.75,春,植物,斗入句帖,寛政中,TRUE
12031,ほち～とよべの雨落るわか葉哉,ほちほちと よべのあめおつる わかばかな,若葉,喜び,風雅,幽玄,0.75,夏,植物,与播雑詠,寛政中,TRUE
12162,汗拭～塚と物がたる茂り哉,あせふきふき つかとものがたる しげりかな,茂り,喜び,素朴,風雅,0.72,夏,植物,西紀書込,寛政中,TRUE
13676,ざぶ～と暖き雨ふる野分哉,ざぶざぶと ぬくきあめふる のわきかな,野分,喜び,風雅,静寂,0.75,秋,天文,西紀書込,寛政中,TRUE
13677,ぬくき雨のざぶり～と野分哉,ぬくきあめの ざぶりざぶりと のわきかな,野分,驚き,幽玄,風雅,0.72,秋,天文,西紀書込,寛政中,TRUE
13679,マヤの雲捐やふやふ野分哉,まやのくも すててようよう のわきかな,野分,驚き,幽玄,風雅,0.75,秋,天文,西紀書込,寛政中,TRUE
15351,つく～”と鴫我を見る夕べ哉,つくづくと しぎわれをみる ゆうべかな,鴫,悲しみ,無垢,物の哀れ,0.72,秋,動物,西紀書込,寛政中,TRUE
15962,ばら～と臑に飛つく螽哉,ばらばらと すねにとびつく いなごかな,いなご,嫌悪,滑稽,素朴,0.75,秋,動物,西紀書込,寛政中,TRUE
16007,きり～”すなくも一ツ聞もひとり哉,きりぎりす なくもひとつきくも ひとりかな,きりぎりす,悲しみ,無常,物の哀れ,0.75,秋,動物,西紀書込,寛政中,TRUE
16008,きり～”す野ゝ牛も聞風情哉,きりぎりす ののうしもきく ふぜいかな,きりぎりす,喜び,風雅,幽玄,0.75,秋,動物,西紀書込,寛政中,TRUE
16009,きり～”(す)人したひよる火影哉,きりぎりす ひとしたひよる ひかげかな,きりぎりす,驚き,幽玄,静寂,0.75,秋,動物,西紀書込,寛政中,TRUE
16010,小便の身ぶるひ笑へきり～”す,しょうべんの みぶるいわらえ きりぎりす,きりぎりす,嫌悪,滑稽,素朴,0.75,秋,動物,西紀書込,寛政中,TRUE
16011,我死なば墓守となれきり～”す,われしなば はかもりとなれ きりぎりす,きりぎりす,悲しみ,無常,物の哀れ,0.75,秋,動物,西紀書込,寛政中,TRUE
16970,只居よふよりはぼくぼく落ぼ哉,ただいよう よりはぼくぼく おちぼかな,稲,悲しみ,無垢,物の哀れ,0.72,秋,植物,西紀書込,寛政中,TRUE
17394,小一時日のけば～し花木槿,こいっとき ひのけば～し はなむくげ,木槿,喜び,風雅,淡白,0.75,秋,植物,西紀書込,寛政中,TRUE
17398,てふ～のいまだにあかぬ木槿哉,ちょうちょうの いまだにあかぬ むくげかな,木槿,期待,風雅,幽玄,0.75,秋,植物,西紀書込,寛政中,TRUE
17654,こぼれ種草(に)によき～茸哉,こぼれだね くさににょきにょき きのこかな,きのこ,喜び,風雅,素朴,0.75,秋,植物,西紀書込,寛政中,TRUE
21901,ころ～と押やり居る冬瓜哉,ころころと おしやりすえる とうがんかな,冬瓜,喜び,風雅,素朴,0.75,冬,植物,西紀書込,寛政中,TRUE
21988,ちゝ～と鬼の子もなく雨夜哉,ちちちちと おにのこもなく あまよかな,その他,悲しみ,無垢,物の哀れ,0.72,無季,,西紀書込,寛政中,TRUE
10795,夜～にかまけら(れ)たる蚤蚊哉,よるよるに かまけられたる のみかかな,蚤,嫌悪,滑稽,素朴,0.75,夏,動物,終焉日記,享和１,TRUE
901,ちま～と住すましたり梅わか菜,ちまぢまと すみすましたり うめわかな,若菜,喜び,風雅,素朴,0.72,新年,植物,享和二句記,享和２,TRUE
1912,陽炎や小藪は雪のまじ～と,かげろうや こやぶはゆきの まじまじと,陽炎,驚き,幽玄,風雅,0.75,春,天文,享和二句記,享和２,TRUE
2684,つや～と露のおりたるやけ野哉,つやつやと つゆのおりたる やけのかな,野焼,喜び,風雅,淡白,0.75,春,人事,享和二句記,享和２,TRUE
4967,ぞく～と所むさいのわらび哉,ぞくぞくと ところむさいの わらびかな,蕨,驚き,幽玄,物の哀れ,0.75,春,植物,享和二句記,享和２,TRUE
5077,のべの梅かぢけ仏のまし～ける,のべのうめ かじけぼとけの ましましける,梅,喜び,風雅,幽玄,0.75,春,植物,享和二句記,享和２,TRUE
8088,雨はら～荒鵜の親よ朶に鳴,あめはらはら あらうのおやよ えだになく,鵜飼,悲しみ,無垢,物の哀れ,0.72,夏,人事,享和二句記,享和２,TRUE
10115,片照りの軒にたよ～ほたる哉,かたでりの のきにたよたよ ほたるかな,蛍,喜び,風雅,幽玄,0.75,夏,人事,享和二句記,享和２,TRUE
15409,段～に雁なくなるや小田の月,だんだんに かりなくなるや おだのつき,雁,悲しみ,無常,物の哀れ,0.75,秋,動物,享和二句記,享和２,TRUE
16012,きり～”すおよぎつきけり介舟,きりぎりす およぎつきけり たすけぶね,きりぎりす,驚き,幽玄,風雅,0.75,秋,動物,享和二句記,享和２,TRUE
148,頭巾とる門はどれ～花の春,ずきんとる かどはどれどれ はなのはる,花の春,驚き,風雅,幽玄,0.72,新年,時候,享和句帖,享和3,TRUE
817,わかなつみわかなつみ～誰やおもふ,わかなつみ わかなつみつみ たれやおもう,若菜摘み,期待,無垢,物の哀れ,0.65,新年,人事,享和句帖,享和3,TRUE
934,やえ～の妹もとつぐ春辺哉,やえやえの いもともとつぐ はるべかな,春辺,喜び,風雅,淡白,0.75,春,時候,享和句帖,享和3,TRUE
2965,七日目にころ～もどる猫子哉,なのかめに ころころもどる ねこごかな,猫の子,喜び,愛らしさ,滑稽,0.75,春,動物,享和句帖,享和3,TRUE
7046,町～や土用の夜水行とゞく,まちまちや どようのやみず ゆきとどく,土用,喜び,風雅,静寂,0.75,夏,時候,享和句帖,享和3,TRUE
7101,ほつ～と二階仕事や五月雨,ほつほつと にかいしごとや さつきあめ,五月雨,信頼,素朴,静寂,0.72,夏,時候,享和句帖,享和3,TRUE
7555,たま～に晴れば闇よ夏の山,たまたまに はれればやみよ なつのやま,夏山,驚き,幽玄,静寂,0.75,夏,地理,享和句帖,享和3,TRUE
8191,汗～と顔おしぬぐふ別哉,あせあせと かおおしぬぐう わかれかな,汗,悲しみ,無垢,物の哀れ,0.75,夏,人事,享和句帖,享和3,TRUE
8440,木母寺が見ゆる～と日傘哉,もくぼじが みゆるみゆると ひがさかな,日傘,喜び,風雅,静寂,0.75,夏,人事,享和句帖,享和3,TRUE
8488,門～も雨ははれけり青すだれ,かどかども あめははれけり あおすだれ,青簾,喜び,風雅,静寂,0.75,夏,人事,享和句帖,享和3,TRUE
8798,木一本ありては蚊やり～哉,きいっぽん ありてはかやり かやりかな,蚊遣,喜び,素朴,風雅,0.72,夏,人事,享和句帖,享和3,TRUE
8799,富士おろし又吹け～と蚊やり哉,ふじおろし またふけふけと かやりかな,蚊遣,喜び,風雅,静寂,0.75,夏,人事,享和句帖,享和3,TRUE
9204,そろ～とよそは旅立田植笠,そろそろと よそはたびだつ たうえがさ,田植,期待,風雅,無常,0.75,夏,人事,享和句帖,享和3,TRUE
9975,行～し尋ぬ(る)牛は吼へもせず,ぎょうぎょうし たずぬるうしは ほえもせず,行々子,静寂,幽玄,余情,0.75,夏,人事,享和句帖,享和3,TRUE
10477,桶あてるちよろ～滝や蚊の声,おけあてる ちょろちょろたきや かのこえ,蚊,驚き,風雅,静寂,0.72,夏,動物,享和句帖,享和3,TRUE
10478,追れ～蚊の湧く草を寝所哉,おわれおわれ かのわくくさを ねどこかな,蚊,嫌悪,滑稽,素朴,0.75,夏,動物,享和句帖,享和3,TRUE
10798,草の蚤はら～もどる火かげ哉,くさののみ はらはらもどる ほかげかな,蚤,嫌悪,無垢,物の哀れ,0.75,夏,動物,享和句帖,享和3,TRUE
12163,雨灰汁に月のちら～茂り哉,あくじるに つきのちらちら しげりかな,茂り,喜び,風雅,幽玄,0.75,夏,植物,享和句帖,享和3,TRUE
12214,日～に四五本ちるや合観の花,にちにちに しごほんちるや ねむのはな,合歓の花,喜び,風雅,淡白,0.75,夏,植物,享和句帖,享和3,TRUE
12424,秋寒（む）や行先～”は人の家,あきさむや ゆくさきざきは ひとのいえ,秋寒,悲しみ,無常,物の哀れ,0.75,秋,時候,享和句帖,享和3,TRUE
12487,灯ちら～どの顔つきも夜寒哉,ひちらちら どのかおつきも よさむかな,夜寒,悲しみ,無垢,物の哀れ,0.72,秋,時候,享和句帖,享和3,TRUE
13508,夕月のけば～しさを秋の風,ゆうづきの けばけばしさを あきのかぜ,秋風,驚き,風雅,幽玄,0.65,秋,天文,享和句帖,享和3,TRUE
14684,べそ～と花火過けり角田川,べそべそと はなびすぎけり すみだがわ,花火,悲しみ,無垢,物の哀れ,0.72,秋,人事,享和句帖,享和3,TRUE
16013,捨られし夜より雨ふるきり～”す,すてられし よるよりあめふる きりぎりす,きりぎりす,悲しみ,無垢,物の哀れ,0.75,秋,動物,享和句帖,享和3,TRUE
16175,昔～妻こもりしよ草の花,むかしむかし つまこもりしよ くさのはな,草の花,悲しみ,無垢,物の哀れ,0.75,秋,植物,享和句帖,享和3,TRUE
16574,行って来て朝顔見るやゆる～と,いってきて あさがおみるや ゆるゆると,朝顔,喜び,風雅,静寂,0.75,秋,植物,享和句帖,享和3,TRUE
17184,来る～も待人でなしタ紅葉,くるくるも まつひとでなし ゆうもみじ,紅葉,悲しみ,無常,物の哀れ,0.75,秋,植物,享和句帖,享和3,TRUE
17286,起～に片ひざ抱ば一葉哉,おきおきに かたひざだけば ひとはかな,桐一葉,悲しみ,無垢,物の哀れ,0.72,秋,植物,享和句帖,享和3,TRUE
17290,ふは～としていく日立一葉哉,ふはふはと していくひたつ ひとはかな,桐一葉,喜び,風雅,幽玄,0.75,秋,植物,享和句帖,享和3,TRUE
17762,けろ～と師走月よの榎哉,けろけろと しわすづきよの えのきかな,師走（十二月 極月）,喜び,風雅,淡白,0.75,冬,時候,享和句帖,享和3,TRUE
18311,吹かれ～時雨来にけり痩男,ふかれふかれ しぐれきにけり やせおとこ,時雨,悲しみ,無常,物の哀れ,0.75,冬,天文,享和句帖,享和3,TRUE
18526,風寒し～～と瓦灯哉,かぜさむし さむしさむしと がとうかな,寒風,悲しみ,無垢,物の哀れ,0.72,冬,天文,享和句帖,享和3,TRUE
18649,初雪のふは～かゝる小鬢哉,はつゆきの ふわふわかかる こびんかな,初雪,喜び,風雅,淡白,0.75,冬,天文,享和句帖,享和3,TRUE
18848,一人ふえ～けり草の雪,ひとりふえ ひとりふえけり くさのゆき,雪,悲しみ,無垢,物の哀れ,0.72,冬,天文,享和句帖,享和3,TRUE
18849,夜～の雪を友也菜雑水,よるよるの ゆきをともなり なぞうすい,雪,驚き,幽玄,静寂,0.75,冬,天文,享和句帖,享和3,TRUE
19058,衛士の火のます～もゆる霰哉,えじのひの ますますもゆる あられかな,霰,驚き,幽玄,静寂,0.72,冬,天文,享和句帖,享和3,TRUE
19170,起～に嚔の音や草の霜,おきおきに くさめのおとや くさのしも,霜,驚き,幽玄,静寂,0.75,冬,天文,享和句帖,享和3,TRUE
19590,かくれ家に日のほか～とかれの哉,かくれがに ひのほかほかと かれのかな,枯れ野,悲しみ,無常,物の哀れ,0.75,冬,地理,享和句帖,享和3,TRUE
19595,ざぶり～～雨ふるかれの哉,ざぶりざぶり ざぶりあめふる かれのかな,枯れ野,悲しみ,無常,物の哀れ,0.75,冬,地理,享和句帖,享和3,TRUE
19598,虫除の札のひよろ～かれの哉,むしよけの ふだのひよろひよろ かれのかな,枯れ野,悲しみ,無垢,物の哀れ,0.75,冬,地理,享和句帖,享和3,TRUE
20927,赤い実も粒～転る粉炭哉,あかいみも つぶつぶころがる こずみかな,炭,喜び,風雅,淡白,0.72,冬,人事,享和句帖,享和3,TRUE
20930,くわん～と炭のおこりし夜明哉,くわんくわんと すみのおこりし よあけかな,炭,喜び,風雅,静寂,0.75,冬,人事,享和句帖,享和3,TRUE
20932,炭の火のふく～゛しさよ藪隣,すみのひの ふくぶくしさよ やぶどなり,炭,喜び,風雅,静寂,0.75,冬,人事,享和句帖,享和3,TRUE
20935,鳴鳥のはら～時の炭火哉,なくとりの はらはらときの すみびかな,炭,喜び,幽玄,静寂,0.75,冬,人事,享和句帖,享和3,TRUE
20937,ぱち～と椿咲きけり炭けぶり,ぱちぱちと つばきさきけり すみけぶり,炭,喜び,風雅,淡白,0.75,冬,人事,享和句帖,享和3,TRUE
20938,一人ふえ～けりはかり炭,ひとりふえ ひとりふえけり はかりずみ,炭,悲しみ,無垢,物の哀れ,0.75,冬,人事,享和句帖,享和3,TRUE
20940,藪ごしに福～゛しさよおこり炭,やぶごしに ふくぶくしさよ おこりずみ,炭,喜び,風雅,幽玄,0.75,冬,人事,享和句帖,享和3,TRUE
20994,けふ～と命もへるや炭俵,きょうきょうと いのちもへるや すみだわら,炭俵,悲しみ,無常,物の哀れ,0.75,冬,人事,享和句帖,享和3,TRUE
21028,赤い実の粒～転るたどん哉,あかいみの つぶつぶころがる たどんかな,たどん,喜び,愛らしさ,風雅,0.75,冬,人事,寛政句帖,享和3,TRUE
21144,はら～と紅葉ちりけり鰒と汁,はらはらと もみじちりけり ふくとじる,鰒汁,悲しみ,無垢,物の哀れ,0.72,冬,人事,享和句帖,享和3,TRUE
21392,水鳥や人はそれ～゛いそがしき,みずどりや ひとはそれぞれ いそがしき,水鳥,悲しみ,無常,物の哀れ,0.75,冬,動物,享和句帖,享和3,TRUE
21504,赤い実の毒～しさよかれ芒,あかいみの どくどくしさよ かれすすき,枯れ芒,嫌悪,無垢,物の哀れ,0.75,冬,植物,享和句帖,享和3,TRUE
821,こて～と鍋かけしわか菜哉,こてこてと なべかけし わかなかな,若菜摘み,喜び,素朴,風雅,0.75,新年,人事,文化句帖,文化1,TRUE
1232,草山のくり～はれし春(の)雨,くさやまの くりくりはれし はるのあめ,春雨,喜び,風雅,淡白,0.75,春,天文,文化句帖,文化1,TRUE
1233,さが山に誰～寝ます春(の)雨,さがやまに だれだれねます はるのあめ,春雨,期待,幽玄,静寂,0.65,春,天文,文化句帖,文化1,TRUE
1238,捨杵のちよろ～水や春の雨,すてぎねの ちょろちょろみずや はるのあめ,春雨,喜び,風雅,淡白,0.75,春,天文,文化句帖,文化1,TRUE
2189,降暮し～けり春の山,ふりくらし ふりくらしけり はるのやま,春の山,悲しみ,無常,物の哀れ,0.75,春,地理,文化句帖,文化1,TRUE
2190,老僧のけば～しさよ春の山,ろうそうの けばけばしさよ はるのやま,春の山,驚き,風雅,幽玄,0.65,春,地理,文化句帖,文化1,TRUE
2541,汐干潟雨しと～と暮かゝる,しおひがた あめしとしとと くれかかる,汐干,静寂,幽玄,余情,0.75,春,人事,文化句帖,文化1,TRUE
2551,はれ～”と御八ツ聞る汐干哉,はればれと おやつきこゆる しおひかな,汐干,喜び,風雅,静寂,0.75,春,人事,文化句帖,文化1,TRUE
3006,鳥の巣のあり～みゆる榎哉,とりのすの ありありみゆる えのきかな,鳥の巣,喜び,風雅,静寂,0.75,春,動物,文化句帖,文化1,TRUE
3058,子雀は千代～(～)と鳴にけり,こすずめは ちよちよちよと なきにけり,雀の子,喜び,愛らしさ,風雅,0.75,春,動物,文化句帖,文化1,TRUE
3825,立雁のぢろ～みるや人の顔,たちかりの じろじろみるや ひとのかお,帰る雁,驚き,滑稽,物の哀れ,0.72,春,動物,文化句帖,文化1,TRUE
4277,うそ～と雨降中を春のてふ,うそうそと あめふるなかを はるのちょう,蝶,驚き,幽玄,風雅,0.75,春,動物,文化句帖,文化1,TRUE
4288,吹やられ～たる小てふ哉,ふきやられ ふきやられたる こちょうかな,蝶,悲しみ,無垢,物の哀れ,0.75,春,動物,文化句帖,文化1,TRUE
4692,白魚に松の旭のいら～し,しらうおに まつのあさひの いらいらし,白魚,喜び,風雅,幽玄,0.75,春,動物,文化句帖,文化1,TRUE
4843,我前に誰～住し菫ぞも,わがまえに だれだれすみし すみれぞも,菫,悲しみ,無垢,物の哀れ,0.75,春,植物,文化句帖,文化1,TRUE
5012,片～”は椿で持し小家哉,かたがたは つばきでもちし こいえかな,椿,喜び,風雅,静寂,0.75,春,植物,文化句帖,文化1,TRUE
5115,来るも～下手鶯よ窓の梅,くるもくるも へたうぐいすよ まどのうめ,梅,喜び,風雅,幽玄,0.75,春,植物,文化句帖,文化1,TRUE
5580,こつ～と人行過て花のちる,こつこつと ひとゆきすぎて はなのちる,花,悲しみ,無垢,物の哀れ,0.75,春,植物,文化句帖,文化1,TRUE
6027,息杖の穴こと～し初桜,いきづえの あなことことし はつざくら,桜,喜び,風雅,淡白,0.75,春,植物,文化句帖,文化1,TRUE
6041,花桜一木～のいさほしや,はなざくら いちぎいちぎの いさほしや,桜,喜び,風雅,幽玄,0.75,春,植物,文化句帖,文化1,TRUE
7102,けふも暮～けり五月雨,きょうもくれ きょうもくれけり さつきあめ,五月雨,悲しみ,無常,物の哀れ,0.75,夏,時候,文化句帖,文化1,TRUE
7560,夏山やつや～したる小順礼,なつやまや つやつやしたる こじゅんれい,夏山,喜び,風雅,静寂,0.75,夏,地理,文化句帖,文化1,TRUE
8637,竹の月～とて扇哉,たけのつき たけのつきとて おうぎかな,扇,喜び,風雅,淡白,0.75,夏,人事,文化句帖,文化1,TRUE
8804,松の露ぽちり～と蚊やり哉,まつのつゆ ぽちりぽちりと かやりかな,蚊遣,喜び,風雅,静寂,0.75,夏,人事,文化句帖,文化1,TRUE
9295,起～の扇づかひや竹分根,おきおきの おうぎづかいや たけわけね,竹植う,喜び,風雅,静寂,0.75,夏,人事,文化句帖,文化1,TRUE
9976,雷のごろつく中を行～し,かみなりの ごろつくなかを ぎょうぎょうし,行々子,恐れ,幽玄,静寂,0.75,夏,人事,文化句帖,文化1,TRUE
9977,行～しどこが葛西の行留り,ぎょうぎょうし どこがかさいの ゆきどまり,行々子,驚き,幽玄,余情,0.75,夏,人事,文化句帖,文化1,TRUE
9978,行～しどこが昔(の)難波なる,ぎょうぎょうし どこがむかしの なにわなる,行々子,悲しみ,無垢,物の哀れ,0.75,夏,人事,文化句帖,文化1,TRUE
9979,はつ～に松島見へて行～し,はつはつに まつしまみえて ぎょうぎょうし,行々子,喜び,風雅,淡白,0.75,夏,人事,文化句帖,文化1,TRUE
10121,はた～と蛍とぶ夜の桶茶哉,はたはたと ほたるとぶよの おけちゃかな,蛍,喜び,風雅,幽玄,0.75,夏,人事,文化句帖,文化1,TRUE
12381,門畠のはれ～゛しさよけさの秋,かどばたの はればれしさよ けさのあき,今朝の秋,喜び,風雅,淡白,0.75,秋,時候,文化句帖,文化1,TRUE
13136,名月や誰～ばかり去年の顔,めいげつや だれだればかり こぞのかお,名月,悲しみ,無垢,物の哀れ,0.75,秋,天文,文化句帖,文化1,TRUE
13445,ばさ～と木曽茶をはかる秋(の)雨,ばさばさと きそちゃをはかる あきのあめ,秋の雨,期待,風雅,淡白,0.65,秋,天文,文化句帖,文化1,TRUE
13512,秋の風蝉もぶつ～゛おしと鳴,あきのかぜ せみもぶつぶつ おしとなく,秋風,悲しみ,無垢,物の哀れ,0.72,秋,天文,文化句帖,文化1,TRUE
13517,松苗のけば～しさよ秋の風,まつなえの けばけばしさよ あきのかぜ,秋風,喜び,風雅,淡白,0.65,秋,天文,文化句帖,文化1,TRUE
13686,ぽつ～と馬の爪切る野分哉,ぽつぽつと うまのつめきる のわきかな,野分,静寂,素朴,余情,0.72,秋,天文,文化句帖,文化1,TRUE
13687,豆殻のぱちり～と野分哉,まめがらの ぱちりぱちりと のわきかな,野分,驚き,風雅,幽玄,0.72,秋,天文,文化句帖,文化1,TRUE
14322,うか～と盆も過たる灯ろ哉,うかうかと ぼんもすぎたる とうろかな,灯籠,悲しみ,無常,余情,0.75,秋,人事,文化句帖,文化1,TRUE
14325,よ所事と思へ～ど灯ろ哉,よそごとと おもえおもえど とうろかな,灯籠,驚き,幽玄,静寂,0.75,秋,人事,文化句帖,文化1,TRUE
14395,うら町の曲りなりなるおどり哉,うらまちの まがりなりなる おどりかな,踊,喜び,風雅,幽玄,0.72,秋,人事,文化句帖,文化1,TRUE
14717,けふも～鳥の番也角力好,きょうもきょうも とりのばんなり すもうずき,角力,喜び,風雅,余情,0.75,秋,人事,文化句帖,文化1,TRUE
14822,はつ～に親里見ゆるかゞし哉,はつはつに おやざとみゆる かがしかな,案山子,喜び,風雅,淡白,0.75,秋,人事,文化句帖,文化1,TRUE
15170,鹿聞のぬけ～九人もどりけり,しかききの ぬけぬけくにん もどりけり,鹿,驚き,風雅,幽玄,0.75,秋,動物,文化句帖,文化1,TRUE
15360,姫松のけば～しさを鴫の立,ひめまつの けばけばしさを しぎのたつ,鴫,驚き,風雅,幽玄,0.75,秋,動物,文化句帖,文化1,TRUE
16014,きり～”す隣に居ても聞へけり,きりぎりす となりにいても きこえけり,きりぎりす,驚き,幽玄,静寂,0.75,秋,動物,文化句帖,文化1,TRUE
16016,焼原やはやくも鳴(や)きり～”す,やけはらや はやくもなくや きりぎりす,きりぎりす,喜び,風雅,幽玄,0.75,秋,動物,文化句帖,文化1,TRUE
16017,夕月や流残りのきり～”す,ゆうづきや ながれのこりの きりぎりす,きりぎりす,悲しみ,無垢,物の哀れ,0.75,秋,動物,文化句帖,文化1,TRUE
16284,痩土にぼつ～菊の咲にけり,やせつちに ぼつぼつきくの さきにけり,菊,喜び,風雅,無常,0.75,秋,植物,文化句帖,文化1,TRUE
16917,ぼつ～と痩けいたうも月夜也,ぼつぼつと やせけいとうも つきよなり,鶏頭,悲しみ,無常,幽玄,0.72,秋,植物,文化句帖,文化1,TRUE
17187,うぢ～と出れば日暮(る)紅葉哉,うじうじと でればひがくるる もみじかな,紅葉,悲しみ,無垢,物の哀れ,0.72,秋,植物,文化句帖,文化1,TRUE
17403,うか～と出水に逢し木槿哉,うかうかと でみずにあいし むくげかな,木槿,喜び,風雅,幽玄,0.75,秋,植物,文化句帖,文化1,TRUE
17462,うき～と草の咲そふ瓢哉,うきうきと くさのさきそう ふくべかな,瓢,喜び,風雅,淡白,0.75,秋,植物,文化句帖,文化1,TRUE
